time_index,incidence,region,category,classification,mom_variation,nature
2024-01-01,0.0233999999999999,NEA,División,Transporte,,Servicios
2024-01-01,0.0115,NEA,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.195,NEA,Nivel General,Total,19.5039,
2024-01-01,0.0187999999999999,NOA,Análisis,Estacionales,14.1156,
2024-01-01,0.1631,NOA,Análisis,Núcleo,22.0301,
2024-01-01,0.0352,NOA,Análisis,Regulados,27.8468,
2024-01-01,0.0864,NOA,División,Alimentos y bebidas,,Bienes
2024-01-01,0.0045,NOA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0146,NOA,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0048,NOA,División,Comunicación,,Servicios
2024-01-01,0.0002,NOA,División,Educación,,Servicios
2024-01-01,0.0155,NOA,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0136,NOA,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0116,NOA,División,Recreación y cultura,,Mixto
2024-01-01,0.0173,NOA,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0153,NOA,División,Salud,,Servicios
2024-01-01,0.0231,NOA,División,Transporte,,Servicios
2024-01-01,0.0102,NOA,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.217,NOA,Nivel General,Total,21.7119,
2024-01-01,0.022,Pampeana,Análisis,Estacionales,16.8286,
2024-01-01,0.1519,Pampeana,Análisis,Núcleo,20.7153,
2024-01-01,0.0381,Pampeana,Análisis,Regulados,28.0602,
2024-01-01,0.0694,Pampeana,División,Alimentos y bebidas,,Bienes
2024-01-01,0.0063,Pampeana,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0127,Pampeana,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0048,Pampeana,División,Comunicación,,Servicios
2024-01-01,0.0,Pampeana,División,Educación,,Servicios
2024-01-01,0.0151,Pampeana,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0133,Pampeana,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0169,Pampeana,División,Recreación y cultura,,Mixto
2024-01-01,0.017,Pampeana,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0197,Pampeana,División,Salud,,Servicios
2024-01-01,0.0287,Pampeana,División,Transporte,,Servicios
2024-01-01,0.0081999999999999,Pampeana,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.212,Pampeana,Nivel General,Total,21.2037,
2024-01-01,0.0207,Patagonia,Análisis,Estacionales,15.9281,
2024-01-01,0.1745,Patagonia,Análisis,Núcleo,24.4773,
2024-01-01,0.0467,Patagonia,Análisis,Regulados,29.7234,
2024-01-01,0.0852,Patagonia,División,Alimentos y bebidas,,Bienes
2024-01-01,0.006,Patagonia,División,Bebidas alcohólicas y tabaco,,Bienes
2024-01-01,0.0151,Patagonia,División,Bienes y servicios varios,,Mixto
2024-01-01,0.0044,Patagonia,División,Comunicación,,Servicios
2024-01-01,0.0,Patagonia,División,Educación,,Servicios
2024-01-01,0.0192999999999999,Patagonia,División,Equipamiento del hogar,,Bienes
2024-01-01,0.0153,Patagonia,División,Prendas de vestir y calzado,,Bienes
2024-01-01,0.0144,Patagonia,División,Recreación y cultura,,Mixto
2024-01-01,0.0102,Patagonia,División,Restaurantes y hoteles,,Servicios
2024-01-01,0.0127,Patagonia,División,Salud,,Servicios
2024-01-01,0.0473,Patagonia,División,Transporte,,Servicios
2024-01-01,0.012,Patagonia,División,Vivienda y servicios básicos,,Servicios
2024-01-01,0.242,Patagonia,Nivel General,Total,24.1909,
2024-02-01,0.0087,Cuyo,Análisis,Estacionales,7.9312,
2024-02-01,0.0941,Cuyo,Análisis,Núcleo,12.9433,
2024-02-01,0.0326,Cuyo,Análisis,Regulados,19.9171,
2024-02-01,0.0398,Cuyo,División,Alimentos y bebidas,,Bienes
2024-02-01,0.004,Cuyo,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0077,Cuyo,División,Bienes y servicios varios,,Mixto
2024-02-01,0.0036,Cuyo,División,Comunicación,,Servicios
2024-02-01,0.0005,Cuyo,División,Educación,,Servicios
2024-02-01,0.0068,Cuyo,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0081,Cuyo,División,Prendas de vestir y calzado,,Bienes
